name,price,link
"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Black","₦ 110,264",https://www.jumia.com.ng/samsung-galaxy-a05-6.7-4gb-ram64gb-rom-android-13-black-397109308.html
"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Black","₦ 124,160",https://www.jumia.com.ng/samsung-galaxy-a05-6.7-4gb-ram64gb-rom-android-13-black-402050267.html
"Samsung Galaxy A06 6.7"" 4GB RAM/ 128GB ROM Android 14 - Black","₦ 153,199",https://www.jumia.com.ng/samsung-galaxy-a06-6.7-4gb-ram-128gb-rom-android-14-black-384423199.html
"Samsung Galaxy A06 6.7"" 4GB RAM/64GB ROM Android 14 - Black","₦ 130,688",https://www.jumia.com.ng/samsung-galaxy-a06-6.7-4gb-ram64gb-rom-android-14-black-401614385.html
"Samsung Galaxy A16 6.7"" HD 8GB RAM/256GB ROM Android 14 - Black","₦ 298,004",https://www.jumia.com.ng/samsung-galaxy-a16-6.7-hd-8gb-ram256gb-rom-android-14-black-391922083.html
"Samsung Galaxy A16 6.7"" HD 4GB RAM/128GB ROM Android 14 5000mah - Black","₦ 243,502",https://www.jumia.com.ng/samsung-galaxy-a16-6.7-hd-4gb-ram128gb-rom-android-14-5000mah-black-391241450.html
"Samsung Galaxy A56 6.7"" 8GB RAM/128GB ROM -  Awesome Graphite","₦ 573,968",https://www.jumia.com.ng/samsung-galaxy-a56-6.7-8gb-ram128gb-rom-awesome-graphite-407383843.html
"Samsung Galaxy A06 6.7"" 4GB RAM/128GB ROM Android 14 - Black","₦ 139,619",https://www.jumia.com.ng/samsung-galaxy-a06-6.7-4gb-ram128gb-rom-android-14-black-401614264.html
"Samsung GALAXY A05 4GB RAM 64GB ROM DUAL SIM, 48MP CAMERA - BLACK","₦ 117,990",https://www.jumia.com.ng/samsung-galaxy-a05-4gb-ram-64gb-rom-dual-sim-48mp-camera-black-279257703.html
Samsung Galaxy A05 4GB RAM + 64GB ROM Silver,"₦ 117,990",https://www.jumia.com.ng/samsung-galaxy-a05-4gb-ram-64gb-rom-silver-305241216.html
"Samsung Galaxy A16 6.7"" HD 6GB RAM/128GB ROM Android 14  - Black","₦ 228,959",https://www.jumia.com.ng/samsung-galaxy-a16-6.7-hd-6gb-ram128gb-rom-android-14-black-416906296.html
"Samsung Galaxy A06 6.7"" 6GB RAM 128GB ROM Android 14 Dual SIM - Black","₦ 180,000",https://www.jumia.com.ng/samsung-galaxy-a06-6.7-6gb-ram-128gb-rom-android-14-dual-sim-black-404480316.html
Samsung GALAXY A16 4G 4GB/128GB DUAL SIM LIGHT GREEN 5000MAH,"₦ 225,000",https://www.jumia.com.ng/samsung-galaxy-a16-4g-4gb128gb-dual-sim-light-green-5000mah-395381034.html
"Samsung Galaxy A16 6.7"" HD 4GB RAM/128GB ROM Android 14 5000mah - Gray","₦ 241,722",https://www.jumia.com.ng/samsung-galaxy-a16-6.7-hd-4gb-ram128gb-rom-android-14-5000mah-gray-391248992.html
"Samsung Galaxy A06 6.7"" 6GB RAM 128GB ROM Android 14 Dual SIM - Light Blue","₦ 180,000",https://www.jumia.com.ng/samsung-galaxy-a06-6.7-6gb-ram-128gb-rom-android-14-dual-sim-light-blue-403167029.html
"Samsung Galaxy Note 8 Single Sim 64gb/6gb 6.3""","₦ 2,000,000",https://www.jumia.com.ng/samsung-galaxy-note-8-single-sim-64gb6gb-6.3-195353694.html
"Samsung Galaxy S10e - 5.8"" 128GB/6GB, Single Sim - Black","₦ 230,000",https://www.jumia.com.ng/samsung-galaxy-s10e-5.8-128gb6gb-single-sim-black-369446597.html
"Samsung Galaxy S21 Plus 6.7"" 128GB S21+ Smartphone -Silver","₦ 380,000",https://www.jumia.com.ng/galaxy-s21-plus-6.7-128gb-s21-smartphone-silver-samsung-mpg3790452.html
Samsung GALAXY A06 4GB/128GB DUAL SIM BLACK- 5000MAH,"₦ 156,800",https://www.jumia.com.ng/samsung-galaxy-a06-4gb128gb-dual-sim-black-5000mah-380818563.html
"Samsung GALAXY S21  6.2"" SINGLE SIM 5G (12MP+64MP) 128/8GB 4000mAh","₦ 345,000",https://www.jumia.com.ng/samsung-galaxy-s21-6.2-single-sim-5g-12mp64mp-1288gb-4000mah-261588825.html
"Samsung Galaxy S21 Ultra 5G - 6.8"" 256GB/12GB, 1Sim - Titanium Black","₦ 560,000",https://www.jumia.com.ng/samsung-galaxy-s21-ultra-5g-6.8-256gb12gb-1sim-titanium-black-369548272.html
Samsung Galaxy S25 Ultra Dual SIM - 12GB - 1TB - 5G - Titanium  WhiteSilver,"₦ 2,499,000",https://www.jumia.com.ng/samsung-galaxy-s25-ultra-dual-sim-12gb-1tb-5g-titanium-whitesilver-401735821.html
"Samsung Galaxy S10e - 5.8"" 128GB/6GB, Single Sim - Blue","₦ 230,000",https://www.jumia.com.ng/samsung-galaxy-s10e-5.8-128gb6gb-single-sim-blue-369446708.html
"Samsung Galaxy Note 10 - 6.3"" 256GB/8GB, Single Sim - Aura Glow","₦ 325,000",https://www.jumia.com.ng/samsung-galaxy-note-10-6.3-256gb8gb-single-sim-aura-glow-369453237.html
Samsung Galaxy Note20 SINGLE SIM (128GB 8GB RAM) 5G,"₦ 342,000",https://www.jumia.com.ng/samsung-galaxy-note20-single-sim-128gb-8gb-ram-5g-361489079.html
"Samsung Galaxy A06 6.7"" 6GB RAM 128GB ROM Android 14 Dual SIM - Black","₦ 179,000",https://www.jumia.com.ng/galaxy-a06-6.7-6gb-ram-128gb-rom-android-14-dual-sim-black-samsung-mpg10574123.html
"Samsung Galaxy S10 Plus 4"" Single Sim 128gb/8gb","₦ 385,000",https://www.jumia.com.ng/samsung-galaxy-s10-plus-4-single-sim-128gb8gb-228460086.html
Samsung Galaxy A06 4GB RAM + 128GB ROM BLACK,"₦ 149,990",https://www.jumia.com.ng/samsung-galaxy-a06-4gb-ram-128gb-rom-black-380786775.html
"Samsung Galaxy A16 6.7"" HD 6GB RAM/128GB ROM Android 14  - Black","₦ 233,832",https://www.jumia.com.ng/samsung-galaxy-a16-6.7-hd-6gb-ram128gb-rom-android-14-black-391927792.html
"Samsung Galaxy S22 Ultra 5G - 6.8"" 256GB/12GB, Single SIM + ESIM - Black","₦ 750,000",https://www.jumia.com.ng/samsung-galaxy-s22-ultra-5g-6.8-256gb12gb-single-sim-esim-black-369548352.html
Samsung Galaxy A05 4GB RAM + 64GB ROM Light Green,"₦ 117,990",https://www.jumia.com.ng/samsung-galaxy-a05-4gb-ram-64gb-rom-light-green-305242237.html
"Samsung Galaxy A36 6.7"" 6GB RAM/128GB ROM Android 15 - Black","₦ 447,746",https://www.jumia.com.ng/samsung-galaxy-a36-6.7-6gb-ram128gb-rom-android-15-black-407383820.html
"Samsung Galaxy S10 Single Sim 128gb/8gb  6.1""","₦ 290,000",https://www.jumia.com.ng/samsung-galaxy-s10-single-sim-128gb8gb-6.1-195354678.html
Samsung GALAXY A16 - 8GB /256GB- Dual Sim- 5000mah- Black,"₦ 302,000",https://www.jumia.com.ng/samsung-galaxy-a16-8gb-256gb-dual-sim-5000mah-black-397321620.html
Samsung A06 4GB/64GB DUAL SIM LIGHT BLUE- 5000MAH,"₦ 138,800",https://www.jumia.com.ng/galaxy-a06-4gb64gb-dual-sim-light-blue-5000mah-samsung-mpg7125561.html
"Samsung Galaxy S21 Ultra 5G-6.8"" (128GB, 12GB RAM) Single Sim Black ⚫️","₦ 520,000",https://www.jumia.com.ng/samsung-galaxy-s21-ultra-5g-6.8-128gb-12gb-ram-single-sim-black-284509464.html
Samsung Galaxy S20 + Plus (8GB/128GB ROM ) Gray,"₦ 305,100",https://www.jumia.com.ng/galaxy-s20-plus-5g-128gb-s20-single-sim-android-10-6.7-inch-quad-hd-121264mp-gray-samsung-mpg3372087.html
"Samsung Galaxy A06 6.7"" 4GB RAM/64GB ROM Android 14 - Black","₦ 142,123",https://www.jumia.com.ng/samsung-galaxy-a06-6.7-4gb-ram64gb-rom-android-14-black-386952807.html
"Samsung GALAXY NOTE 20 SINGLE SIM (12PM+64PM ) 6.7"" 5G 128/8 4300mAh","₦ 345,000",https://www.jumia.com.ng/samsung-galaxy-note-20-single-sim-12pm64pm-6.7-5g-1288-4300mah-261599584.html
Samsung Galaxy S21 5G 8+128GB G991U Single Sim -black,"₦ 342,000",https://www.jumia.com.ng/samsung-galaxy-s21-5g-8128gb-g991u-single-sim-black-359755866.html
